[    1112ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://127.0.0.1:4173/node_modules/.vite/deps/chunk-HCIN4FJ4.js?v=e1bfa154:21606
[  290871ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  292922ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  295857ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  299778ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  305120ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  310161ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  312688ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  314866ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  317423ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  319890ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  323508ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  328316ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  333213ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  338410ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  340731ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  344854ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  348115ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  353698ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  356465ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  361403ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  365061ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  370201ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  375875ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  379199ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  381865ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  385422ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  390822ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  393154ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  398697ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  403631ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  408821ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  413877ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  418326ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  423403ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  428661ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  433424ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  438692ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  442403ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  447716ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  453274ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  456333ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  461513ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  463666ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  466531ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  471780ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  473789ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  477528ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  483331ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  488712ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  491730ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  495036ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  497482ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  499691ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  505416ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
